idade,genero,etnia,pcd,vive_no_brasil,estado_moradia,nivel_ensino,formacao,tempo_experiencia_dados,linguagens_preferidas,bancos_de_dados,cloud_preferida,cargo
27,Feminino,Branca,Não,TRUE,Rio de Janeiro (RJ),Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Não tenho experiência na área de dados,Python,NENHUM,Não sei opinar,Outra Opção
26,Feminino,Branca,Sim,TRUE,São Paulo (SP),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 1 a 2 anos,Python,"PostgreSQL, Snowflake, Dremio",Amazon Web Services (AWS),Analista de BI/BI Analyst
33,Masculino,Parda,Não,TRUE,Mato Grosso (MT),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 4 a 6 anos,Python,"PostgreSQL, SQL SERVER, Google BigQuery, MySQL, Cassandra, Databricks",Não sei opinar,Analista de Dados/Data Analyst
28,Feminino,Branca,Não,TRUE,São Paulo (SP),Graduação/Bacharelado,Outra opção,de 1 a 2 anos,Python,Amazon Athena,Não sei opinar,Analista de Dados/Data Analyst
39,Masculino,Parda,Não,TRUE,São Paulo (SP),Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Mais de 10 anos,,,,
31,Feminino,Branca,Não,TRUE,Minas Gerais (MG),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Mais de 10 anos,Python,"SQL SERVER, Databricks, S3, MongoDB",Azure (Microsoft),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
25,Masculino,Parda,Não,TRUE,São Paulo (SP),Pós-graduação,Outras Engenharias,de 1 a 2 anos,Python,interno,Amazon Web Services (AWS),Analista de Dados/Data Analyst
43,Masculino,Branca,Não,TRUE,Bahia (BA),Doutorado ou Phd,Química / Física,Mais de 10 anos,,,,
35,Masculino,Branca,Não,TRUE,São Paulo (SP),Graduação/Bacharelado,Outras Engenharias,de 4 a 6 anos,R,"Hive, Presto",Amazon Web Services (AWS),Cientista de Dados/Data Scientist
44,Feminino,Branca,Não,TRUE,São Paulo (SP),Pós-graduação,Ciências Sociais,de 3 a 4 anos,Python,"MySQL, Google BigQuery, Elaticsearch",Google Cloud (GCP),Analista de Dados/Data Analyst
31,Feminino,Branca,Não,TRUE,São Paulo (SP),Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 4 a 6 anos,,,,
43,Masculino,Branca,Não,TRUE,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Mais de 10 anos,,,,
34,Masculino,Indígena,Não,TRUE,Santa Catarina (SC),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 7 a 10 anos,Python,"PostgreSQL, SQL SERVER",Amazon Web Services (AWS),Cientista de Dados/Data Scientist
32,Masculino,Parda,Não,TRUE,Rio de Janeiro (RJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 3 a 4 anos,Python,Google BigQuery,Não sei opinar,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
48,Masculino,Branca,Não,TRUE,Paraná (PR),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 1 a 2 anos,Python,"SQL SERVER, Sybase, Oracle, Databricks",Azure (Microsoft),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
29,Feminino,Amarela,Não,TRUE,Paraná (PR),Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,,,,,
33,Masculino,Branca,Não,TRUE,São Paulo (SP),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Mais de 10 anos,Python,"S3, MySQL, SQL SERVER, Databricks, Oracle, Snowflake, Amazon Athena, DB2, SAP HANA, Google BigQuery",Não sei opinar,Analytics Engineer
33,Feminino,Branca,Sim,TRUE,São Paulo (SP),Graduação/Bacharelado,Outra opção,de 3 a 4 anos,Python,"Databricks, S3",Google Cloud (GCP),Cientista de Dados/Data Scientist
26,Feminino,Branca,Não,TRUE,São Paulo (SP),Pós-graduação,Outras Engenharias,de 1 a 2 anos,Python,"Databricks, SAP HANA",Amazon Web Services (AWS),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
50,Masculino,Branca,Não,TRUE,Rio Grande do Sul (RS),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 1 a 2 anos,,,,
